         148400 function calls (144135 primitive calls) in 5.678 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 version.py:93(StrictVersion)
       26    0.000    0.000    0.000    0.000 core.py:6750(__init__)
        6    0.000    0.000    0.000    0.000 deprecation.py:56(warn_deprecated)
       30    0.000    0.000    0.000    0.000 rcsetup.py:353(validate_color_for_prop_cycle)
     4461    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       12    0.000    0.000    0.000    0.000 deprecation.py:333(_delete_parameter)
        1    0.000    0.000    0.000    0.000 utils.py:1(<module>)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1259(_path_hooks)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
       26    0.000    0.000    0.000    0.000 core.py:6755(getdoc)
        3    0.000    0.000    0.000    0.000 warnings.py:130(filterwarnings)
       67    0.000    0.000    0.000    0.000 pyparsing.py:4442(__init__)
      141    0.000    0.000    0.000    0.000 colors.py:124(_is_nth_color)
      274    0.000    0.000    0.000    0.000 function_base.py:437(_add_docstring)
        1    0.000    0.000    0.000    0.000 argparse.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _methods.py:1(<module>)
        4    0.000    0.000    0.000    0.000 rcsetup.py:340(validate_color_or_inherit)
     1060    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
        6    0.000    0.000    0.000    0.000 __init__.py:2089(_warn_external)
        2    0.000    0.000    0.000    0.000 opimg.py:61(correcao)
        3    0.000    0.000    0.000    0.000 gettext.py:741(gettext)
       18    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
        3    0.000    0.000    0.000    0.000 gettext.py:664(dgettext)
      286    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
        7    0.000    0.000    0.000    0.000 argparse.py:1303(__init__)
     1895    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        3    0.000    0.000    0.000    0.000 gettext.py:583(translation)
     2724    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      211    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
     1621    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       11    0.000    0.000    0.000    0.000 typing.py:885(__getitem__)
        3    0.000    0.000    0.000    0.000 gettext.py:542(find)
      828    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
      789    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
      298    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
      700    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
       12    0.000    0.000    0.000    0.000 pyparsing.py:4847(parseImpl)
      572    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
      214    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
       50    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
        2    0.000    0.000    0.000    0.000 re.py:233(findall)
      757    0.000    0.000    0.000    0.000 __init__.py:916(<lambda>)
        1    0.000    0.000    0.000    0.000 pickle.py:197(<listcomp>)
        1    0.000    0.000    0.000    0.000 opimg.py:138(rotacao)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 lzma.py:1(<module>)
      616    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
        6    0.000    0.000    0.000    0.000 argparse.py:1931(consume_optional)
      789    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
        1    0.000    0.000    0.000    0.000 rcsetup.py:843(cycler)
        1    0.000    0.000    0.000    0.000 extras.py:1(<module>)
     12/8    0.000    0.000    0.000    0.000 typing.py:337(__getitem__)
      414    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
      410    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        3    0.000    0.000    0.000    0.000 pyparsing.py:2215(__mul__)
       16    0.000    0.000    0.000    0.000 typing.py:818(copy_with)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1466(_guarded_repr_or_str)
       10    0.000    0.000    0.000    0.000 pyparsing.py:4779(parseImpl)
       52    0.000    0.000    0.000    0.000 core.py:895(__init__)
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
      154    0.000    0.000    0.000    0.000 {built-in method numpy.array}
     1923    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      137    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
     1237    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       19    0.000    0.000    0.000    0.000 _add_newdocs.py:6709(add_newdoc_for_scalar_type)
        5    0.000    0.000    0.000    0.000 textwrap.py:414(dedent)
       83    0.000    0.000    0.000    0.000 pyparsing.py:2828(__init__)
        1    0.000    0.000    0.000    0.000 hashlib.py:5(<module>)
        2    0.000    0.000    0.000    0.000 linop.py:16(inversa)
     12/2    0.000    0.000    0.000    0.000 pyparsing.py:2270(makeOptionalList)
        1    0.000    0.000    0.000    0.000 histograms.py:1(<module>)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(pinv)
        1    0.000    0.000    0.000    0.000 __init__.py:926(<dictcomp>)
        8    0.000    0.000    0.000    0.000 typing.py:418(Union)
       63    0.000    0.000    0.000    0.000 enum.py:65(__setitem__)
        1    0.000    0.000    0.000    0.000 ufunclike.py:1(<module>)
        2    0.000    0.000    0.000    0.000 linalg.py:1916(pinv)
      170    0.000    0.000    0.000    0.000 typing.py:690(__setattr__)
        4    0.000    0.000    0.000    0.000 core.py:115(doc_note)
      9/3    0.000    0.000    0.000    0.000 pyparsing.py:4243(streamline)
      212    0.000    0.000    0.000    0.000 enum.py:580(__new__)
       40    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 numbers.py:4(<module>)
        3    0.000    0.000    0.000    0.000 argparse.py:2160(_match_arguments_partial)
        4    0.000    0.000    0.000    0.000 re.py:223(split)
        1    0.000    0.000    0.000    0.000 __init__.py:2(<module>)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
      169    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
       28    0.000    0.000    0.000    0.000 inspect.py:626(cleandoc)
        1    0.000    0.000    0.000    0.000 rcsetup.py:1504(<dictcomp>)
       27    0.000    0.000    0.000    0.000 pyparsing.py:5098(__init__)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1527(path_hook_for_FileFinder)
        1    0.000    0.000    0.000    0.000 _color_data.py:1(<module>)
      144    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      5/4    0.000    0.000    0.000    0.000 __init__.py:235(wrapper)
      274    0.000    0.000    0.000    0.000 function_base.py:419(_needs_add_docstring)
    53/18    0.000    0.000    0.000    0.000 abc.py:100(__subclasscheck__)
      380    0.000    0.000    0.000    0.000 functools.py:65(wraps)
       28    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1595    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       43    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      516    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
    53/18    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
     1595    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 __init__.py:746(copy)
       16    0.000    0.000    0.000    0.000 pyparsing.py:2292(__or__)
        1    0.000    0.000    0.000    0.000 __init__.py:747(<dictcomp>)
        6    0.000    0.000    0.000    0.000 inspect.py:3128(signature)
   107/82    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 arrayprint.py:516(array2string)
      616    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
       93    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:2534(_get_formatter)
       36    0.000    0.000    0.000    0.000 pyparsing.py:2870(__init__)
       53    0.000    0.000    0.000    0.000 typing.py:121(_type_check)
        6    0.000    0.000    0.000    0.000 inspect.py:2876(from_callable)
        2    0.000    0.000    0.000    0.000 hashlib.py:82(__get_builtin_constructor)
       10    0.000    0.000    0.000    0.000 argparse.py:1385(add_argument)
        1    0.000    0.000    0.000    0.000 argparse.py:161(__init__)
