         291952 function calls (282739 primitive calls) in 12.356 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 transforms.py:1(<module>)
17036/16544    0.001    0.000    0.001    0.000 {built-in method builtins.len}
     6271    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.001    0.001 shutil.py:1(<module>)
 1669/180    0.000    0.000    0.001    0.000 <frozen abc>:121(__subclasscheck__)
 1669/180    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
      509    0.000    0.000    0.001    0.000 _inspect.py:96(getargspec)
       92    0.000    0.000    0.001    0.000 inspect.py:2373(_signature_from_function)
      389    0.000    0.000    0.001    0.000 enum.py:695(__call__)
     2945    0.001    0.000    0.001    0.000 typing.py:1294(_is_dunder)
       43    0.000    0.000    0.001    0.000 core.py:4404(<genexpr>)
      548    0.001    0.000    0.001    0.000 typing.py:1813(__hash__)
    45/12    0.000    0.000    0.001    0.000 typing.py:1483(_determine_new_args)
     1328    0.000    0.000    0.001    0.000 typing.py:1122(_is_unpacked_typevartuple)
    11877    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.001    0.001 _local.py:1(<module>)
      281    0.000    0.000    0.001    0.000 typing.py:1307(__init__)
    45/12    0.000    0.000    0.001    0.000 typing.py:1512(_make_substitution)
        1    0.000    0.000    0.001    0.001 artist.py:125(__init_subclass__)
      140    0.001    0.000    0.001    0.000 _compiler.py:241(_optimize_charset)
        1    0.000    0.000    0.001    0.001 ExifTags.py:21(Base)
        1    0.000    0.000    0.001    0.001 numerictypes.py:1(<module>)
      582    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
      435    0.000    0.000    0.001    0.000 enum.py:1055(_add_member_)
      121    0.000    0.000    0.001    0.000 typing.py:379(_remove_dups_flatten)
        4    0.000    0.000    0.001    0.000 enum.py:838(_create_)
      411    0.000    0.000    0.001    0.000 typing.py:789(<genexpr>)
    228/8    0.000    0.000    0.001    0.000 core.py:813(_parseNoCache)
3420/3417    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     48/8    0.000    0.000    0.001    0.000 core.py:4172(parseImpl)
        1    0.000    0.000    0.001    0.001 subprocess.py:1(<module>)
     1626    0.001    0.000    0.001    0.000 cbook.py:468(_strip_comment)
        8    0.000    0.000    0.001    0.000 typing.py:2073(__init__)
       89    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.001    0.001 cbook.py:1(<module>)
        8    0.000    0.000    0.001    0.000 typing.py:1927(_get_protocol_attrs)
     4078    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
      104    0.000    0.000    0.001    0.000 inspect.py:872(getdoc)
        6    0.000    0.000    0.001    0.000 util.py:412(_inner)
        1    0.000    0.000    0.001    0.001 core.py:389(ParserElement)
      582    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
  278/178    0.000    0.000    0.001    0.000 core.py:1947(name)
     1043    0.000    0.000    0.001    0.000 typing.py:1358(__getattr__)
      160    0.000    0.000    0.001    0.000 typing.py:351(_deduplicate)
       81    0.000    0.000    0.001    0.000 _compiler.py:514(_compile_info)
      261    0.000    0.000    0.001    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.001    0.001 scimath.py:1(<module>)
        1    0.000    0.000    0.001    0.001 tempfile.py:1(<module>)
     3131    0.001    0.000    0.001    0.000 _parser.py:167(__getitem__)
       39    0.000    0.000    0.001    0.000 colors.py:419(to_rgba_array)
     22/3    0.000    0.000    0.001    0.000 core.py:4122(streamline)
  208/115    0.000    0.000    0.001    0.000 core.py:1910(default_name)
        2    0.000    0.000    0.001    0.000 core.py:6134(srange)
     7768    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
       14    0.000    0.000    0.001    0.000 core.py:113(doc_note)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1171(exec_module)
      443    0.000    0.000    0.001    0.000 copy.py:248(_reconstruct)
      233    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
     30/4    0.000    0.000    0.001    0.000 core.py:3963(streamline)
        1    0.000    0.000    0.001    0.001 getlimits.py:166(_register_known_types)
       98    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.001    0.001 helpers.py:634(make_html_tags)
        1    0.000    0.000    0.001    0.001 helpers.py:576(_makeTags)
        1    0.000    0.000    0.001    0.001 ImagePalette.py:1(<module>)
     2702    0.000    0.000    0.001    0.000 _parser.py:260(get)
        1    0.000    0.000    0.001    0.001 <frozen ntpath>:1(<module>)
     10/3    0.000    0.000    0.001    0.000 unicode.py:14(__get__)
        1    0.000    0.000    0.001    0.001 _function_base_impl.py:1(<module>)
        4    0.000    0.000    0.001    0.000 artist.py:1413(__init__)
  134/117    0.000    0.000    0.001    0.000 typing.py:1773(__hash__)
        1    0.000    0.000    0.001    0.001 _scimath_impl.py:1(<module>)
       27    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1326(exec_module)
        1    0.000    0.000    0.001    0.001 extras.py:1(<module>)
      490    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
        4    0.000    0.000    0.001    0.000 artist.py:1433(get_aliases)
      412    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
      269    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      537    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
      195    0.000    0.000    0.001    0.000 _shape_base_impl.py:633(column_stack)
      162    0.000    0.000    0.001    0.000 __init__.py:164(match)
       27    0.000    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
        6    0.000    0.000    0.001    0.000 getlimits.py:34(__init__)
 1077/897    0.000    0.000    0.001    0.000 {method 'update' of 'dict' objects}
       83    0.000    0.000    0.001    0.000 core.py:3887(__init__)
       15    0.000    0.000    0.001    0.000 core.py:620(set_parse_action)
       12    0.000    0.000    0.001    0.000 typing.py:1762(copy_with)
       14    0.000    0.000    0.001    0.000 core.py:5119(parseImpl)
        4    0.000    0.000    0.001    0.000 artist.py:1511(get_setters)
        1    0.000    0.000    0.001    0.001 _abc.py:1(<module>)
     23/6    0.000    0.000    0.001    0.000 core.py:4741(streamline)
      206    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
      626    0.000    0.000    0.001    0.000 typing.py:164(_type_convert)
        1    0.000    0.000    0.001    0.001 _cm_multivar.py:1(<module>)
       19    0.000    0.000    0.001    0.000 core.py:257(_trim_arity)
       48    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
      233    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
       20    0.000    0.000    0.001    0.000 arrayprint.py:1675(_array_str_implementation)
        1    0.000    0.000    0.001    0.001 _util.py:1(<module>)
        1    0.000    0.000    0.001    0.001 unicode.py:80(alphanums)
       29    0.000    0.000    0.001    0.000 typing.py:1207(_generic_class_getitem)
        1    0.000    0.000    0.001    0.001 __init__.py:477(StrFormatStyle)
        1    0.000    0.000    0.001    0.001 traceback.py:1(<module>)
        3    0.000    0.000    0.001    0.000 _fontconfig_pattern.py:57(comma_separated)
        1    0.000    0.000    0.001    0.001 traceback.py:249(extract_stack)
     2686    0.000    0.000    0.001    0.000 util.py:202(__call__)
