         149578 function calls (145313 primitive calls) in 47.245 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 pyparsing.py:5843(makeHTMLTags)
        1    0.000    0.000    0.001    0.001 pyparsing.py:5806(_makeTags)
  573/183    0.001    0.000    0.001    0.000 sre_parse.py:174(getwidth)
     3085    0.001    0.000    0.001    0.000 sre_parse.py:233(__next)
     1201    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x7f01fa897900}
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
        1    0.000    0.000    0.001    0.001 hmac.py:1(<module>)
      410    0.000    0.000    0.001    0.000 copy.py:258(_reconstruct)
       66    0.000    0.000    0.001    0.000 pyparsing.py:2138(__add__)
       78    0.000    0.000    0.001    0.000 rcsetup.py:360(validate_color)
        1    0.000    0.000    0.001    0.001 nanfunctions.py:1(<module>)
       32    0.000    0.000    0.001    0.000 fromnumeric.py:39(_wrapit)
        3    0.000    0.000    0.001    0.000 enum.py:445(_convert_)
        2    0.000    0.000    0.001    0.000 pyparsing.py:5679(srange)
      243    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
        1    0.000    0.000    0.001    0.001 __init__.py:435(StrFormatStyle)
       12    0.000    0.000    0.001    0.000 rcsetup.py:437(validate_font_properties)
        5    0.000    0.000    0.001    0.000 __init__.py:109(import_module)
       43    0.000    0.000    0.001    0.000 abc.py:84(__new__)
        5    0.000    0.000    0.001    0.000 fontconfig_pattern.py:119(parse)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1018(_gcd_import)
       10    0.000    0.000    0.001    0.000 __init__.py:345(namedtuple)
       76    0.000    0.000    0.001    0.000 colors.py:129(is_color_like)
      520    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:87(acquire)
2634/2630    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      261    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
       67    0.000    0.000    0.001    0.000 pyparsing.py:4011(__init__)
    63/59    0.000    0.000    0.001    0.000 typing.py:256(inner)
        1    0.000    0.000    0.001    0.001 getlimits.py:94(_register_known_types)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
       96    0.000    0.000    0.001    0.000 traceback.py:285(line)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
       12    0.000    0.000    0.001    0.000 pyparsing.py:4686(parseImpl)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
      520    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:112(release)
       14    0.000    0.000    0.001    0.000 {built-in method builtins.eval}
      487    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1272(_path_importer_cache)
      186    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1433(_get_spec)
        3    0.000    0.000    0.001    0.000 enum.py:392(_create_)
       72    0.000    0.000    0.001    0.000 linecache.py:26(getline)
      186    0.001    0.000    0.001    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
        1    0.000    0.000    0.001    0.001 twodim_base.py:1(<module>)
       17    0.000    0.000    0.001    0.000 re.py:203(sub)
       28    0.000    0.000    0.001    0.000 deprecation.py:168(deprecate)
        6    0.000    0.000    0.001    0.000 getlimits.py:35(__init__)
        3    0.000    0.000    0.001    0.000 argparse.py:390(_format_actions_usage)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
       72    0.000    0.000    0.001    0.000 linecache.py:36(getlines)
        1    0.000    0.000    0.001    0.001 decimal.py:2(<module>)
     8137    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
        5    0.000    0.000    0.001    0.000 enum.py:136(__new__)
       66    0.000    0.000    0.001    0.000 rcsetup.py:87(f)
        1    0.000    0.000    0.001    0.001 base64.py:3(<module>)
    22/10    0.000    0.000    0.001    0.000 pyparsing.py:4249(parseImpl)
       83    0.000    0.000    0.001    0.000 pyparsing.py:3870(__init__)
      642    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.001    0.001 linecache.py:80(updatecache)
       65    0.000    0.000    0.001    0.000 colors.py:161(to_rgba)
       71    0.000    0.000    0.001    0.000 _asarray.py:14(asarray)
        2    0.000    0.000    0.001    0.000 opimg.py:61(correcao)
        1    0.000    0.000    0.001    0.001 version.py:10(<module>)
      177    0.000    0.000    0.001    0.000 __init__.py:1412(debug)
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
        1    0.000    0.000    0.001    0.001 opimg.py:138(rotacao)
     18/4    0.000    0.000    0.001    0.000 pyparsing.py:4460(parseImpl)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
      205    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:160(__exit__)
        1    0.000    0.000    0.001    0.001 six.py:21(<module>)
        1    0.000    0.000    0.001    0.001 arraysetops.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:407(PercentStyle)
      294    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
        2    0.000    0.000    0.001    0.000 rcsetup.py:928(validate_cycler)
        1    0.000    0.000    0.001    0.001 argparse.py:1686(__init__)
     2249    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
        1    0.000    0.000    0.001    0.001 ntpath.py:2(<module>)
       94    0.000    0.000    0.001    0.000 sre_parse.py:96(closegroup)
       16    0.000    0.000    0.001    0.000 arrayprint.py:1473(_array_str_implementation)
     24/4    0.000    0.000    0.001    0.000 pyparsing.py:4031(streamline)
     33/5    0.000    0.000    0.001    0.000 pyparsing.py:3928(streamline)
        1    0.000    0.000    0.001    0.001 uuid.py:1(<module>)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
      149    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1017(path_stats)
      233    0.000    0.000    0.000    0.000 pyparsing.py:1400(__init__)
     1811    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:1(<module>)
      186    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:636(spec_from_file_location)
       15    0.000    0.000    0.000    0.000 colors.py:197(_to_rgba_no_colorcycle)
      850    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
     2501    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       35    0.000    0.000    0.000    0.000 rcsetup.py:106(<listcomp>)
        1    0.000    0.000    0.000    0.000 interp.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
       16    0.000    0.000    0.000    0.000 arrayprint.py:461(wrapper)
       44    0.000    0.000    0.000    0.000 core.py:138(get_object_signature)
       30    0.000    0.000    0.000    0.000 getlimits.py:41(<lambda>)
       89    0.000    0.000    0.000    0.000 enum.py:852(__and__)
        1    0.000    0.000    0.000    0.000 opimg.py:163(rotacao_proj)
      149    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:500(_classify_pyc)
       27    0.000    0.000    0.000    0.000 typing.py:716(__init__)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1486(_fill_cache)
     2236    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
     23/7    0.000    0.000    0.000    0.000 pyparsing.py:4485(streamline)
        1    0.000    0.000    0.000    0.000 version.py:93(StrictVersion)
      286    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
        3    0.000    0.000    0.000    0.000 warnings.py:130(filterwarnings)
       26    0.000    0.000    0.000    0.000 core.py:6750(__init__)
     4461    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        6    0.000    0.000    0.000    0.000 deprecation.py:56(warn_deprecated)
       12    0.000    0.000    0.000    0.000 deprecation.py:333(_delete_parameter)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1259(_path_hooks)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
       67    0.000    0.000    0.000    0.000 pyparsing.py:4442(__init__)
       30    0.000    0.000    0.000    0.000 rcsetup.py:353(validate_color_for_prop_cycle)
        1    0.000    0.000    0.000    0.000 utils.py:1(<module>)
       26    0.000    0.000    0.000    0.000 core.py:6755(getdoc)
      274    0.000    0.000    0.000    0.000 function_base.py:437(_add_docstring)
      141    0.000    0.000    0.000    0.000 colors.py:124(_is_nth_color)
        1    0.000    0.000    0.000    0.000 _methods.py:1(<module>)
